gene_id,Exp_2_3,Neg_1_2
CELE_Y71F9AL.17|copa-1,18450,17519
CELE_Y71F9AL.23|mir-4931,0,0
CELE_Y71F9AL.4|pph-7,411,436
CELE_Y71F9AL.18|parp-1,6436,6971
CELE_Y71F9AL.2|Y71F9AL.2,106,46
CELE_Y71F9AL.1|Y71F9AL.1,1275,1231
CELE_Y71F9AR.1|bam-2,1504,1644
CELE_Y71F9AM.7|Y71F9AM.7,0,0
CELE_Y71F9AM.11|Y71F9AM.11,0,0
CELE_Y71F9AM.6|trap-1,15585,11021
CELE_Y71F9AM.5|nxt-1,2162,2032
CELE_Y71F9AM.4|cogc-3,3548,3204
CELE_Y71F9AM.9|Y71F9AM.9,228,97
CELE_Y71F9AR.4|Y71F9AR.4,376,277
CELE_Y71F9AR.2|Y71F9AR.2,91,85
CELE_Y71F9AR.3|supr-1,1875,1944
CELE_Y54E10BL.4|dnj-28,2124,1779
CELE_Y54E10BL.5|nduf-5,3269,2729
CELE_Y54E10BL.8|Y54E10BL.8,0,0
CELE_Y54E10BL.3|Y54E10BL.3,29,46
CELE_Y54E10BL.6|mek-2,3562,3410
CELE_Y54E10BL.2|col-48,919,359
CELE_Y54E10BR.4|nobh-1,3286,3237
CELE_Y54E10BR.3|rnf-126,3880,3633
CELE_Y54E10BR.5|sec-11,5897,4912
CELE_Y54E10BR.6|rpb-7,3465,3082
CELE_Y54E10BR.2|Y54E10BR.2,2109,2241
CELE_Y54E10BR.7|mod-5,226,244
CELE_Y54E10BR.8|ztf-23,1314,1330
CELE_Y54E10BR.1|pign-1,2197,2130
CELE_M01B12.3|arx-7,1460,1375
CELE_C45E1.8|C45E1.8,0,0
CELE_C45E1.4|nssp-2,172,117
CELE_C45E1.9|C45E1.9,0,0
CELE_C45E1.6|C45E1.6,0,0
CELE_C45E1.1|nhr-64,650,619
CELE_C45E1.10|C45E1.10,4,0
CELE_M01B12.4|M01B12.4,7456,7590
CELE_M01B12.5|riok-1,2305,2479
CELE_K09H9.5|K09H9.5,137,120
CELE_K09H9.3|col-49,1742,401
CELE_K09H9.8|K09H9.8,259,168
CELE_K09H9.6|lpd-6,5692,5563
CELE_Y54E10A.7|mrpl-17,1267,1432
CELE_Y54E10A.6|Y54E10A.6,2256,2237
CELE_Y54E10A.5|dnc-6,1914,1673
CELE_K09H9.1|K09H9.1,0,0
CELE_K09H9.2|dscc-1,2784,2809
CELE_K09H9.7|K09H9.7,421,443
CELE_Y54E10A.9|vbh-1,27774,26990
CELE_Y54E10A.10|Y54E10A.10,1811,1548
CELE_Y54E10A.11|Y54E10A.11,4417,4350
CELE_Y54E10A.17|Y54E10A.17,762,592
CELE_Y54E10A.12|syp-5,2601,2633
CELE_Y54E10A.4|fog-1,929,1135
CELE_Y54E10A.14|rom-5,1241,1299
CELE_Y54E10A.15|cdt-1,4225,3963
CELE_Y54E10A.24|Y54E10A.24,0,0
CELE_Y54E10A.25|Y54E10A.25,0,0
CELE_Y54E10A.26|Y54E10A.26,0,0
CELE_Y54E10A.27|Y54E10A.27,0,0
CELE_Y54E10A.29|Y54E10A.29,0,0
CELE_Y54E10A.3|txl-1,5666,5168
CELE_Y54E10A.2|cogc-1,3319,3475
CELE_Y54E10A.16|mab-31,1951,1524
